                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79111,                0.72178,                 1.0777,                0.85578,                0.79843,                0.87095,                0.69538,                0.77309,                0.69684,                 1.0597,              0.0007195,              0.0007195,              0.0007195
                     37,                0.79464,                0.72001,                 1.0769,                 0.8501,                0.78746,                0.85979,                0.68497,                0.77663,                0.71154,                 1.0699,             0.00071125,             0.00071125,             0.00071125
                     38,                0.79857,                0.70999,                 1.0745,                0.84016,                0.82148,                0.88217,                0.70444,                 0.7635,                0.67479,                 1.0494,               0.000703,               0.000703,               0.000703
                     39,                0.78597,                0.71675,                 1.0716,                0.83786,                0.82219,                0.87436,                 0.6944,                0.76529,                0.69358,                 1.0447,             0.00069475,             0.00069475,             0.00069475
                     40,                0.79372,                0.70362,                 1.0778,                 0.8589,                0.79374,                0.87975,                0.70216,                0.76561,                0.68115,                 1.0497,              0.0006865,              0.0006865,              0.0006865
                     41,                0.78355,                0.68319,                 1.0672,                0.86444,                0.81068,                0.88669,                0.71403,                0.74959,                0.66581,                 1.0405,             0.00067825,             0.00067825,             0.00067825
                     42,                0.78529,                0.68218,                 1.0684,                 0.8367,                0.83841,                0.88666,                0.71057,                0.76082,                0.67034,                 1.0481,                0.00067,                0.00067,                0.00067
                     43,                0.77523,                0.68645,                 1.0634,                0.85682,                0.81044,                0.88682,                0.71837,                0.74908,                0.67066,                 1.0412,             0.00066175,             0.00066175,             0.00066175
                     44,                 0.7783,                0.69402,                 1.0718,                0.84729,                0.80628,                0.87655,                0.70539,                0.75599,                0.67302,                 1.0407,              0.0006535,              0.0006535,              0.0006535
                     45,                0.77075,                0.69425,                 1.0643,                0.84177,                0.81889,                0.87548,                0.70719,                0.74664,                0.66715,                 1.0403,             0.00064525,             0.00064525,             0.00064525
                     46,                0.77539,                0.68019,                 1.0663,                0.83563,                0.83329,                  0.888,                0.71575,                0.74231,                0.65583,                 1.0405,               0.000637,               0.000637,               0.000637
                     47,                0.76588,                0.67119,                 1.0595,                0.85815,                0.81176,                0.87807,                0.70779,                0.74228,                0.66811,                 1.0359,             0.00062875,             0.00062875,             0.00062875
                     48,                0.76966,                0.67305,                 1.0602,                 0.8409,                0.82932,                0.88894,                0.72257,                0.73735,                0.64905,                 1.0344,              0.0006205,              0.0006205,              0.0006205
                     49,                0.77056,                0.66647,                 1.0637,                0.85162,                0.81523,                0.87733,                0.71016,                0.73879,                 0.6621,                 1.0394,             0.00061225,             0.00061225,             0.00061225
                     50,                0.76818,                0.66722,                 1.0592,                0.86214,                0.80399,                0.88457,                0.71583,                0.74451,                 0.6573,                 1.0392,               0.000604,               0.000604,               0.000604
                     51,                0.75447,                0.65451,                 1.0517,                0.83721,                0.84363,                0.89044,                0.71994,                0.74157,                0.65001,                 1.0331,             0.00059575,             0.00059575,             0.00059575
                     52,                0.75026,                0.64638,                 1.0517,                0.82958,                 0.8418,                0.88721,                 0.7202,                0.73434,                0.64812,                  1.028,              0.0005875,              0.0005875,              0.0005875
                     53,                0.74636,                0.64604,                 1.0533,                0.84574,                0.82659,                0.89306,                 0.7244,                0.74055,                0.64385,                 1.0353,             0.00057925,             0.00057925,             0.00057925
                     54,                 0.7647,                 0.6593,                 1.0592,                0.86445,                0.80528,                 0.8869,                0.71904,                0.74078,                0.64718,                 1.0412,               0.000571,               0.000571,               0.000571
                     55,                 0.7549,                0.64806,                 1.0497,                0.85833,                0.82211,                0.89815,                0.72974,                0.73286,                 0.6262,                 1.0347,             0.00056275,             0.00056275,             0.00056275
                     56,                0.74858,                 0.6294,                 1.0477,                0.87148,                0.81657,                0.89622,                0.73037,                0.73458,                0.62971,                 1.0335,              0.0005545,              0.0005545,              0.0005545
                     57,                0.74871,                0.63746,                 1.0521,                0.86149,                0.81969,                0.89186,                0.72216,                0.73821,                0.63495,                 1.0339,             0.00054625,             0.00054625,             0.00054625
                     58,                  0.739,                0.62721,                 1.0446,                 0.8613,                0.81476,                0.88544,                0.71873,                0.72999,                0.63725,                  1.033,               0.000538,               0.000538,               0.000538
                     59,                0.74613,                0.62944,                 1.0461,                 0.8495,                0.82359,                0.88564,                0.71827,                0.73131,                0.64618,                 1.0311,             0.00052975,             0.00052975,             0.00052975
                     60,                0.73845,                0.61704,                 1.0414,                0.86389,                 0.8255,                0.89769,                0.73012,                0.73069,                0.62345,                 1.0297,              0.0005215,              0.0005215,              0.0005215
                     61,                0.74217,                0.61202,                 1.0402,                 0.8537,                0.83544,                0.89646,                0.73196,                0.72613,                0.61224,                 1.0249,             0.00051325,             0.00051325,             0.00051325
                     62,                0.74576,                 0.6263,                 1.0462,                0.87461,                0.82629,                0.90181,                0.73478,                0.72899,                0.60865,                 1.0272,               0.000505,               0.000505,               0.000505
                     63,                0.74311,                0.61768,                 1.0456,                0.86272,                0.82117,                0.88305,                0.71909,                 0.7334,                0.62908,                 1.0311,             0.00049675,             0.00049675,             0.00049675
                     64,                0.73823,                0.61121,                 1.0376,                0.87503,                0.81971,                0.89622,                0.73018,                0.73006,                0.61001,                 1.0287,              0.0004885,              0.0004885,              0.0004885
                     65,                0.73655,                0.61303,                 1.0429,                0.85915,                  0.829,                0.89544,                0.73244,                 0.7236,                0.61634,                 1.0261,             0.00048025,             0.00048025,             0.00048025
                     66,                0.72984,                0.60493,                 1.0395,                0.84755,                0.84354,                0.89744,                0.73407,                0.72622,                0.61569,                 1.0277,               0.000472,               0.000472,               0.000472
                     67,                0.72357,                0.59297,                 1.0344,                 0.8517,                0.83574,                0.89937,                0.73599,                0.71874,                0.61228,                 1.0208,             0.00046375,             0.00046375,             0.00046375
                     68,                0.72151,                0.59448,                 1.0382,                 0.8778,                0.82102,                0.90074,                0.73935,                0.71703,                0.60576,                 1.0196,              0.0004555,              0.0004555,              0.0004555
                     69,                0.72306,                0.59065,                 1.0381,                0.87196,                0.83086,                0.89762,                0.73576,                 0.7174,                0.61234,                 1.0192,             0.00044725,             0.00044725,             0.00044725
                     70,                 0.7218,                0.58766,                 1.0335,                0.85719,                0.83644,                0.89304,                0.73049,                0.72203,                 0.6179,                 1.0268,               0.000439,               0.000439,               0.000439
                     71,                0.72015,                0.59257,                 1.0303,                0.86184,                0.83084,                0.89488,                0.73413,                0.71807,                  0.615,                 1.0187,             0.00043075,             0.00043075,             0.00043075
                     72,                0.71394,                0.59059,                 1.0348,                0.87117,                0.82595,                0.90011,                0.73738,                0.71491,                0.59961,                 1.0171,              0.0004225,              0.0004225,              0.0004225
                     73,                0.72397,                 0.5868,                 1.0342,                0.85312,                0.83905,                0.89711,                0.73561,                0.71644,                0.60838,                 1.0193,             0.00041425,             0.00041425,             0.00041425
                     74,                0.71711,                0.58498,                 1.0325,                0.87765,                0.81526,                0.89469,                0.73304,                0.71775,                0.61234,                 1.0213,               0.000406,               0.000406,               0.000406
                     75,                0.71901,                0.58191,                 1.0303,                0.87006,                0.82295,                0.89741,                0.73462,                 0.7205,                0.60113,                 1.0198,             0.00039775,             0.00039775,             0.00039775
                     76,                 0.7129,                0.57773,                 1.0341,                0.86938,                0.83308,                0.89858,                0.73931,                0.71591,                0.59917,                 1.0204,              0.0003895,              0.0003895,              0.0003895
                     77,                0.71197,                0.57778,                 1.0274,                0.86271,                0.83338,                0.89604,                0.73518,                0.71625,                0.59703,                 1.0233,             0.00038125,             0.00038125,             0.00038125
                     78,                0.71626,                0.58276,                 1.0299,                0.87857,                0.82519,                  0.898,                0.73697,                0.71716,                0.60113,                 1.0201,               0.000373,               0.000373,               0.000373
                     79,                0.71635,                0.57487,                 1.0327,                 0.8633,                0.83426,                0.89931,                0.73735,                0.71465,                0.59777,                 1.0175,             0.00036475,             0.00036475,             0.00036475
                     80,                0.71336,                0.56382,                 1.0271,                0.87026,                0.82838,                0.90052,                0.74332,                0.71234,                0.59364,                 1.0162,              0.0003565,              0.0003565,              0.0003565
                     81,                0.70933,                0.56405,                 1.0284,                0.86442,                0.83178,                0.90114,                0.74008,                0.71566,                0.59829,                  1.018,             0.00034825,             0.00034825,             0.00034825
                     82,                0.69747,                0.55677,                  1.018,                0.85288,                0.84277,                0.90058,                0.74108,                0.71423,                0.60067,                 1.0223,                0.00034,                0.00034,                0.00034
                     83,                0.70372,                0.55554,                 1.0215,                0.86273,                0.83335,                 0.9003,                 0.7415,                0.70927,                0.59424,                 1.0171,             0.00033175,             0.00033175,             0.00033175
