                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.66076,                0.49086,                  1.004,                0.86455,                0.83135,                0.90017,                0.74903,                0.68812,                 0.5697,                 1.0142,              0.0002245,              0.0002245,              0.0002245
                     97,                0.65367,                0.48609,                 1.0066,                  0.859,                0.83433,                0.90113,                0.74926,                0.68461,                0.56927,                 1.0147,             0.00021625,             0.00021625,             0.00021625
                     98,                0.65341,                0.48444,                  1.006,                0.87458,                0.82416,                0.90386,                 0.7533,                0.68584,                0.56625,                 1.0128,               0.000208,               0.000208,               0.000208
                     99,                0.64476,                0.48005,                  1.004,                0.87935,                0.82365,                0.90191,                0.75302,                0.68103,                0.56778,                 1.0106,             0.00019975,             0.00019975,             0.00019975
                    100,                0.64735,                0.48626,                 1.0053,                0.85567,                0.84075,                0.89959,                0.75323,                0.68148,                0.56867,                 1.0123,              0.0001915,              0.0001915,              0.0001915
                    101,                0.64235,                0.47854,                 1.0017,                0.86744,                0.83261,                 0.9009,                0.75259,                0.68168,                0.55993,                 1.0132,             0.00018325,             0.00018325,             0.00018325
                    102,                0.64066,                0.47725,                  1.001,                0.88378,                0.81586,                0.90178,                0.75411,                0.68498,                0.56474,                 1.0163,               0.000175,               0.000175,               0.000175
                    103,                0.64184,                0.47587,                 1.0005,                0.87216,                0.83034,                0.90152,                0.75303,                0.68074,                0.56268,                 1.0102,             0.00016675,             0.00016675,             0.00016675
                    104,                0.64119,                0.47035,                 1.0004,                0.87612,                0.82572,                0.90497,                0.75744,                0.68099,                0.55579,                 1.0126,              0.0001585,              0.0001585,              0.0001585
                    105,                0.64876,                 0.4718,                  1.003,                 0.8798,                  0.821,                0.90441,                0.75539,                0.68356,                0.55585,                 1.0116,             0.00015025,             0.00015025,             0.00015025
                    106,                0.64384,                0.47047,                 1.0021,                0.88066,                0.82353,                0.90315,                0.75557,                0.68271,                0.55811,                 1.0104,               0.000142,               0.000142,               0.000142
                    107,                0.63667,                0.46188,                0.99899,                0.86571,                0.83545,                 0.9019,                 0.7544,                0.68149,                0.56237,                   1.01,             0.00013375,             0.00013375,             0.00013375
                    108,                0.63883,                0.46573,                 1.0019,                0.87204,                 0.8321,                 0.9035,                 0.7551,                0.68387,                 0.5619,                  1.013,              0.0001255,              0.0001255,              0.0001255
                    109,                0.63815,                0.46441,                0.99815,                0.87583,                0.83158,                0.90323,                0.75681,                0.68432,                0.55853,                 1.0142,             0.00011725,             0.00011725,             0.00011725
                    110,                0.62954,                0.46053,                0.99712,                0.86975,                0.83501,                0.90273,                0.75709,                0.68052,                  0.559,                 1.0116,               0.000109,               0.000109,               0.000109
                    111,                0.57474,                0.38526,                0.94788,                0.88199,                0.82262,                0.90158,                0.75297,                0.68409,                0.56375,                  1.016,             0.00010075,             0.00010075,             0.00010075
                    112,                0.57105,                0.37625,                0.94294,                0.86061,                0.83975,                0.90037,                0.75165,                0.68522,                0.56544,                 1.0159,               9.25e-05,               9.25e-05,               9.25e-05
                    113,                0.56643,                0.37939,                0.94103,                0.87362,                0.82831,                0.89892,                0.75201,                0.68452,                0.56599,                 1.0166,              8.425e-05,              8.425e-05,              8.425e-05
                    114,                0.56517,                  0.371,                0.93916,                0.87887,                0.82393,                0.90121,                0.75441,                0.68247,                0.56386,                 1.0142,                7.6e-05,                7.6e-05,                7.6e-05
                    115,                0.56812,                0.36783,                0.94291,                0.88238,                0.82195,                0.90141,                0.75504,                0.68013,                0.56381,                 1.0115,              6.775e-05,              6.775e-05,              6.775e-05
                    116,                0.56582,                 0.3687,                0.93914,                0.87595,                0.82614,                0.90225,                0.75624,                0.68016,                0.56343,                 1.0103,               5.95e-05,               5.95e-05,               5.95e-05
                    117,                0.55866,                0.36408,                0.93643,                0.87203,                0.82983,                0.90239,                0.75663,                0.67997,                0.56238,                 1.0107,              5.125e-05,              5.125e-05,              5.125e-05
                    118,                 0.5611,                0.36246,                0.93528,                0.87795,                 0.8262,                0.90242,                0.75671,                 0.6803,                0.56335,                 1.0116,                4.3e-05,                4.3e-05,                4.3e-05
                    119,                0.55308,                0.35727,                0.93752,                0.87233,                0.83007,                0.90086,                0.75577,                0.67996,                0.56759,                 1.0125,              3.475e-05,              3.475e-05,              3.475e-05
                    120,                0.55691,                0.35993,                 0.9344,                0.87454,                0.82998,                0.90178,                0.75561,                0.67933,                0.56598,                 1.0108,               2.65e-05,               2.65e-05,               2.65e-05
