                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99683,                 2.2736,                 1.2255,                 0.6457,                 0.5903,                0.61872,                0.45348,                0.96443,                 1.6848,                 1.2236,             0.00033198,             0.00033198,             0.00033198
                      2,                0.99699,                 1.5497,                 1.2221,                0.66489,                0.64704,                0.68518,                 0.4928,                 1.0145,                 1.4624,                 1.2391,             0.00065982,             0.00065982,             0.00065982
                      3,                 1.0092,                 1.4399,                 1.2254,                0.69041,                0.58975,                0.65897,                0.46346,                 1.0472,                 1.7051,                 1.2924,             0.00098217,             0.00098217,             0.00098217
                      4,                 1.0051,                 1.3413,                  1.217,                0.73488,                0.60961,                0.68309,                0.50397,                0.96381,                 1.3926,                  1.222,             0.00097525,             0.00097525,             0.00097525
                      5,                0.98496,                 1.2457,                 1.2063,                0.72278,                0.66623,                0.71815,                0.52809,                 0.9579,                 1.2035,                 1.2021,             0.00097525,             0.00097525,             0.00097525
                      6,                0.95135,                  1.151,                 1.1892,                0.73259,                0.68109,                0.73485,                0.54102,                0.95397,                 1.2075,                 1.2042,               0.000967,               0.000967,               0.000967
                      7,                0.94247,                   1.11,                 1.1835,                0.75583,                 0.7109,                0.76896,                0.58634,                 0.8769,                 1.0151,                 1.1574,             0.00095875,             0.00095875,             0.00095875
                      8,                 0.9172,                 1.0461,                  1.165,                0.78042,                0.73072,                0.80306,                0.60356,                0.89051,                0.98199,                 1.1593,              0.0009505,              0.0009505,              0.0009505
                      9,                0.90808,                 1.0153,                 1.1637,                 0.8069,                0.76385,                0.82334,                0.63083,                 0.8594,                0.89355,                 1.1476,             0.00094225,             0.00094225,             0.00094225
                     10,                0.90663,                 1.0124,                 1.1625,                0.78937,                0.72796,                0.79539,                0.60739,                 0.8804,                0.94551,                 1.1601,               0.000934,               0.000934,               0.000934
                     11,                0.89023,                0.95619,                 1.1507,                0.77797,                0.77446,                0.81517,                0.61511,                0.87245,                0.88613,                 1.1603,             0.00092575,             0.00092575,             0.00092575
                     12,                0.88597,                0.93557,                 1.1513,                0.76972,                0.74912,                0.79858,                0.61223,                0.84432,                 0.9127,                 1.1306,              0.0009175,              0.0009175,              0.0009175
                     13,                0.86945,                0.91053,                 1.1357,                0.81553,                0.73815,                0.81738,                0.64366,                0.83277,                 0.8543,                 1.1353,             0.00090925,             0.00090925,             0.00090925
                     14,                0.86086,                0.89502,                 1.1404,                0.82849,                0.74551,                0.82897,                0.63523,                0.84891,                0.88355,                 1.1455,               0.000901,               0.000901,               0.000901
                     15,                0.87022,                0.89631,                 1.1294,                0.82501,                0.77768,                0.84886,                 0.6617,                0.83609,                 0.7979,                  1.124,             0.00089275,             0.00089275,             0.00089275
                     16,                0.85873,                0.87523,                 1.1337,                0.82866,                0.77713,                 0.8529,                0.66713,                 0.8073,                0.77556,                 1.0942,              0.0008845,              0.0008845,              0.0008845
                     17,                0.84207,                0.82029,                  1.119,                0.83537,                0.79226,                0.85668,                0.67538,                0.80213,                0.75393,                 1.0899,             0.00087625,             0.00087625,             0.00087625
                     18,                0.84699,                0.83711,                 1.1214,                0.83753,                0.78589,                0.85625,                  0.673,                0.78758,                0.76474,                 1.0912,               0.000868,               0.000868,               0.000868
                     19,                0.83138,                0.81812,                 1.1134,                0.84224,                0.80452,                0.85676,                0.67665,                0.78167,                0.75548,                 1.0818,             0.00085975,             0.00085975,             0.00085975
                     20,                0.82285,                0.80883,                 1.1051,                0.85504,                0.77147,                0.86266,                0.68527,                0.78711,                0.74195,                 1.0847,              0.0008515,              0.0008515,              0.0008515
                     21,                0.81849,                0.79229,                 1.1093,                0.81905,                0.80134,                0.84246,                0.66627,                0.79388,                0.75787,                 1.0871,             0.00084325,             0.00084325,             0.00084325
                     22,                0.81509,                0.79112,                 1.1039,                0.81502,                0.79647,                0.85333,                0.67071,                 0.7828,                0.75287,                 1.0892,               0.000835,               0.000835,               0.000835
                     23,                0.81613,                0.77719,                 1.1032,                0.83882,                0.81327,                0.88205,                0.70467,                0.77158,                0.68141,                 1.0696,             0.00082675,             0.00082675,             0.00082675
                     24,                0.81358,                0.77088,                 1.1032,                0.83282,                0.79915,                0.86899,                0.69152,                0.76715,                0.71146,                 1.0675,              0.0008185,              0.0008185,              0.0008185
                     25,                0.81412,                0.75609,                  1.101,                0.83412,                0.82196,                0.87982,                0.70524,                0.76806,                0.68115,                 1.0712,             0.00081025,             0.00081025,             0.00081025
                     26,                 0.7924,                0.74017,                 1.0909,                0.85832,                0.80166,                0.87732,                0.70933,                0.75041,                0.67952,                 1.0562,               0.000802,               0.000802,               0.000802
                     27,                0.79316,                0.73653,                 1.0906,                0.83431,                 0.8154,                0.87767,                0.70356,                0.76096,                0.67779,                 1.0669,             0.00079375,             0.00079375,             0.00079375
                     28,                0.79302,                0.72344,                  1.092,                0.84811,                0.80643,                0.88196,                0.70786,                0.76837,                0.67236,                 1.0755,              0.0007855,              0.0007855,              0.0007855
                     29,                0.79044,                0.72277,                  1.088,                0.85696,                0.80436,                0.88637,                0.71019,                 0.7549,                0.66844,                 1.0633,             0.00077725,             0.00077725,             0.00077725
                     30,                0.79292,                0.72089,                 1.0915,                0.86749,                0.79875,                0.88106,                0.70943,                 0.7565,                 0.6729,                 1.0561,               0.000769,               0.000769,               0.000769
                     31,                0.78226,                0.72131,                 1.0829,                0.84751,                0.80375,                0.87648,                0.70471,                0.74949,                0.67333,                 1.0583,             0.00076075,             0.00076075,             0.00076075
                     32,                0.77885,                0.70869,                 1.0891,                 0.8502,                0.81369,                0.87617,                0.70353,                0.74609,                0.66213,                 1.0488,              0.0007525,              0.0007525,              0.0007525
                     33,                0.78656,                0.70801,                 1.0861,                0.85122,                 0.8057,                 0.8744,                 0.6972,                0.76478,                0.67985,                  1.069,             0.00074425,             0.00074425,             0.00074425
                     34,                0.78815,                0.70479,                  1.084,                0.85136,                0.81293,                0.88162,                0.70854,                0.75077,                0.66807,                 1.0643,               0.000736,               0.000736,               0.000736
                     35,                0.78016,                0.69293,                 1.0826,                0.84338,                0.81996,                0.87446,                0.70448,                0.75182,                0.67139,                 1.0581,             0.00072775,             0.00072775,             0.00072775
                     36,                0.76479,                0.68396,                 1.0749,                0.86491,                0.80835,                0.87683,                0.70996,                0.74618,                0.66068,                 1.0461,              0.0007195,              0.0007195,              0.0007195
                     37,                0.76528,                0.67469,                 1.0732,                0.84942,                0.82062,                0.87677,                0.70966,                0.74262,                0.65996,                 1.0528,             0.00071125,             0.00071125,             0.00071125
                     38,                0.77037,                0.67324,                 1.0706,                0.84205,                0.81835,                0.88759,                0.72083,                0.72937,                0.64285,                 1.0378,               0.000703,               0.000703,               0.000703
                     39,                0.75663,                0.67841,                  1.067,                0.84384,                0.82357,                0.89016,                0.71702,                 0.7262,                0.64151,                 1.0335,             0.00069475,             0.00069475,             0.00069475
                     40,                0.76495,                0.66597,                 1.0753,                0.86577,                0.81058,                0.88986,                0.72186,                0.73102,                0.63025,                 1.0407,              0.0006865,              0.0006865,              0.0006865
                     41,                0.75549,                0.64804,                 1.0644,                0.85506,                0.82658,                0.89154,                0.72433,                0.72271,                 0.6194,                 1.0331,             0.00067825,             0.00067825,             0.00067825
                     42,                0.75963,                0.64564,                 1.0681,                0.84552,                0.83233,                 0.8872,                0.71451,                0.74185,                0.63626,                 1.0505,                0.00067,                0.00067,                0.00067
                     43,                0.74941,                0.64134,                 1.0586,                0.85106,                0.83186,                0.89057,                0.72349,                0.73218,                  0.622,                  1.041,             0.00066175,             0.00066175,             0.00066175
                     44,                0.74741,                0.64962,                 1.0649,                0.86111,                0.80791,                0.88824,                0.72182,                0.73222,                0.62664,                 1.0432,              0.0006535,              0.0006535,              0.0006535
                     45,                0.74316,                0.64152,                 1.0605,                0.84599,                0.82098,                0.88501,                0.72121,                0.72228,                0.63018,                 1.0371,             0.00064525,             0.00064525,             0.00064525
                     46,                 0.7468,                0.64099,                  1.062,                0.86578,                0.81746,                0.89471,                0.73005,                0.72989,                0.61683,                 1.0431,               0.000637,               0.000637,               0.000637
                     47,                  0.742,                0.63185,                 1.0573,                0.83973,                0.84475,                0.89123,                 0.7273,                0.72248,                0.61838,                 1.0341,             0.00062875,             0.00062875,             0.00062875
                     48,                0.73997,                0.62594,                 1.0532,                0.84618,                0.83133,                0.89094,                0.73029,                0.72215,                0.61629,                 1.0374,              0.0006205,              0.0006205,              0.0006205
                     49,                0.74049,                0.62134,                 1.0566,                0.85017,                0.83569,                0.88591,                 0.7213,                0.72194,                0.62072,                 1.0361,             0.00061225,             0.00061225,             0.00061225
                     50,                0.73873,                0.62517,                 1.0548,                0.85523,                0.82463,                0.89274,                 0.7318,                0.71829,                0.61401,                 1.0312,               0.000604,               0.000604,               0.000604
                     51,                 0.7261,                0.60938,                  1.049,                0.85752,                0.83981,                0.89687,                0.73183,                0.71823,                0.59938,                 1.0354,             0.00059575,             0.00059575,             0.00059575
                     52,                0.72202,                0.60406,                  1.049,                0.86279,                0.81791,                0.89292,                0.73606,                0.71546,                0.61197,                 1.0292,              0.0005875,              0.0005875,              0.0005875
                     53,                0.72465,                0.60628,                  1.051,                0.87398,                0.81382,                0.89457,                0.73589,                0.71027,                0.60929,                 1.0233,             0.00057925,             0.00057925,             0.00057925
                     54,                0.73358,                0.61179,                 1.0514,                0.87713,                0.80833,                0.89526,                0.73327,                0.71467,                0.60372,                 1.0292,               0.000571,               0.000571,               0.000571
                     55,                0.72381,                0.59916,                 1.0442,                0.87142,                0.82649,                0.90263,                0.73853,                  0.709,                0.59125,                 1.0252,             0.00056275,             0.00056275,             0.00056275
                     56,                0.71893,                0.58518,                 1.0437,                0.85709,                0.83209,                0.89681,                0.73916,                0.70955,                  0.594,                 1.0275,              0.0005545,              0.0005545,              0.0005545
                     57,                0.72201,                0.59386,                 1.0471,                0.86329,                0.82222,                0.89732,                 0.7339,                 0.7125,                 0.5952,                  1.029,             0.00054625,             0.00054625,             0.00054625
                     58,                0.71233,                0.58523,                 1.0402,                0.84085,                0.83967,                0.89532,                0.73481,                0.71015,                0.60115,                  1.036,               0.000538,               0.000538,               0.000538
                     59,                0.71812,                0.58689,                 1.0424,                0.86982,                0.82071,                0.89069,                0.73018,                0.70777,                0.60462,                  1.034,             0.00052975,             0.00052975,             0.00052975
                     60,                0.71312,                0.57392,                 1.0385,                0.86668,                0.83006,                0.90267,                0.74388,                0.70748,                0.58268,                 1.0239,              0.0005215,              0.0005215,              0.0005215
                     61,                0.71501,                0.57484,                  1.036,                 0.8682,                0.82731,                0.89735,                 0.7405,                0.70603,                0.58675,                 1.0263,             0.00051325,             0.00051325,             0.00051325
                     62,                0.71228,                0.58085,                 1.0379,                0.86251,                0.83929,                0.90027,                0.74036,                 0.7063,                0.58828,                 1.0246,               0.000505,               0.000505,               0.000505
                     63,                0.71277,                0.57254,                 1.0414,                0.86236,                0.82755,                0.89542,                0.73671,                 0.7088,                0.59198,                 1.0301,             0.00049675,             0.00049675,             0.00049675
                     64,                0.71541,                0.57046,                 1.0356,                0.85591,                0.83474,                0.89492,                0.73851,                0.70831,                0.58539,                 1.0231,              0.0004885,              0.0004885,              0.0004885
                     65,                 0.7066,                0.57119,                 1.0378,                0.86203,                0.83253,                0.89579,                 0.7399,                0.70262,                0.58437,                 1.0253,             0.00048025,             0.00048025,             0.00048025
                     66,                0.70019,                0.56226,                 1.0345,                0.86338,                0.82888,                0.89982,                0.74801,                0.69933,                0.58109,                 1.0211,               0.000472,               0.000472,               0.000472
                     67,                0.69953,                0.55291,                 1.0314,                 0.8482,                0.84185,                0.89576,                0.74091,                0.70296,                0.58735,                 1.0198,             0.00046375,             0.00046375,             0.00046375
                     68,                0.69352,                0.55052,                 1.0328,                0.86423,                0.83319,                0.89926,                0.74411,                0.69486,                0.57782,                 1.0176,              0.0004555,              0.0004555,              0.0004555
                     69,                0.69328,                0.54681,                 1.0328,                0.87564,                0.82388,                 0.9033,                0.74717,                0.69476,                0.57704,                 1.0193,             0.00044725,             0.00044725,             0.00044725
                     70,                0.69509,                0.54922,                 1.0313,                0.87088,                0.83085,                0.90119,                0.74792,                0.69448,                0.58262,                 1.0164,               0.000439,               0.000439,               0.000439
                     71,                0.69527,                0.55456,                 1.0285,                0.86402,                0.83245,                0.90041,                0.74369,                0.70168,                0.57826,                 1.0206,             0.00043075,             0.00043075,             0.00043075
                     72,                0.68472,                0.54575,                 1.0289,                0.84229,                0.85132,                0.89872,                0.74509,                0.69647,                0.57818,                 1.0214,              0.0004225,              0.0004225,              0.0004225
                     73,                0.69546,                 0.5488,                 1.0289,                0.85989,                0.83326,                    0.9,                0.74326,                0.70209,                0.58156,                 1.0221,             0.00041425,             0.00041425,             0.00041425
                     74,                0.68867,                0.54573,                 1.0279,                0.86637,                0.82518,                0.89673,                0.74632,                0.69493,                0.58067,                 1.0206,               0.000406,               0.000406,               0.000406
                     75,                 0.6898,                0.53786,                 1.0279,                0.85609,                0.84018,                0.90111,                0.74941,                0.69289,                0.57288,                  1.015,             0.00039775,             0.00039775,             0.00039775
                     76,                0.68933,                0.54017,                 1.0307,                0.87362,                0.82421,                0.90233,                0.74952,                0.69202,                0.56868,                 1.0127,              0.0003895,              0.0003895,              0.0003895
                     77,                0.68421,                0.53428,                 1.0209,                0.86551,                0.83182,                0.89957,                0.74586,                0.69351,                0.56962,                 1.0177,             0.00038125,             0.00038125,             0.00038125
                     78,                0.68575,                0.53673,                 1.0246,                0.85402,                0.83864,                0.89528,                0.74374,                0.68881,                0.57821,                 1.0132,               0.000373,               0.000373,               0.000373
                     79,                0.68512,                0.53534,                 1.0264,                0.86599,                0.83151,                0.90193,                0.75011,                0.69406,                 0.5711,                 1.0176,             0.00036475,             0.00036475,             0.00036475
                     80,                0.68227,                0.52367,                 1.0202,                0.86883,                0.83088,                0.90157,                0.74909,                0.69415,                0.56945,                 1.0188,              0.0003565,              0.0003565,              0.0003565
                     81,                0.68277,                0.52462,                  1.022,                0.87013,                0.83505,                0.90176,                0.74995,                0.69155,                0.56651,                 1.0112,             0.00034825,             0.00034825,             0.00034825
                     82,                0.67251,                0.51342,                 1.0123,                0.86181,                 0.8352,                0.90476,                0.75174,                0.68989,                0.56829,                 1.0117,                0.00034,                0.00034,                0.00034
                     83,                0.67656,                 0.5122,                 1.0153,                0.86663,                0.83508,                0.90543,                0.75297,                0.69397,                0.56637,                 1.0168,             0.00033175,             0.00033175,             0.00033175
                     84,                0.67055,                0.51255,                 1.0156,                0.87724,                0.82399,                0.90305,                0.75162,                0.69073,                 0.5683,                 1.0115,              0.0003235,              0.0003235,              0.0003235
                     85,                0.66938,                0.50672,                 1.0164,                0.85326,                0.83666,                0.90149,                0.74844,                0.69199,                0.56901,                 1.0171,             0.00031525,             0.00031525,             0.00031525
                     86,                0.66922,                0.50995,                 1.0163,                0.87534,                0.82419,                0.90386,                0.75306,                0.69025,                0.56175,                 1.0157,               0.000307,               0.000307,               0.000307
                     87,                0.67176,                0.51567,                 1.0131,                0.86097,                 0.8306,                0.90042,                 0.7509,                0.68747,                0.56257,                 1.0108,             0.00029875,             0.00029875,             0.00029875
                     88,                0.66234,                0.50614,                 1.0085,                0.88135,                0.82088,                 0.9016,                0.75004,                0.69028,                0.56469,                 1.0127,              0.0002905,              0.0002905,              0.0002905
                     89,                0.66892,                 0.4985,                 1.0145,                0.86442,                0.83694,                0.90298,                0.75282,                0.68466,                0.56063,                 1.0066,             0.00028225,             0.00028225,             0.00028225
                     90,                0.66338,                0.49767,                 1.0104,                0.86895,                0.82869,                0.90125,                0.75431,                0.68487,                0.57034,                 1.0087,               0.000274,               0.000274,               0.000274
                     91,                0.66494,                0.49924,                 1.0112,                0.86134,                0.83326,                0.90246,                0.75151,                0.68766,                0.57186,                 1.0117,             0.00026575,             0.00026575,             0.00026575
                     92,                0.65775,                0.50247,                 1.0125,                0.87505,                 0.8213,                0.90334,                0.75229,                0.68731,                0.56849,                 1.0146,              0.0002575,              0.0002575,              0.0002575
                     93,                0.65799,                0.49362,                 1.0075,                0.86124,                0.83349,                0.89948,                0.74789,                0.68958,                0.57158,                 1.0169,             0.00024925,             0.00024925,             0.00024925
                     94,                0.65256,                  0.495,                 1.0091,                0.85921,                0.83436,                0.90288,                0.75281,                0.68533,                0.56252,                 1.0127,               0.000241,               0.000241,               0.000241
                     95,                0.65814,                0.48823,                  1.008,                0.85524,                0.84617,                0.90375,                 0.7511,                 0.6879,                0.56014,                 1.0156,             0.00023275,             0.00023275,             0.00023275
